2016-2017,1,BA 183.2,Iloilo City,Lec/Lab,CL 2,2,M Th,1:00-3:30,3,18,"HORTILLO,J",
2016-2017,1,BA 183.2,Iloilo City,Lec/Lab,CL1,1,M Th,1:00-3:30,3,18,"DUMPIT,D",
2016-2017,1,BA 183.2,Iloilo City,Lec/Lab,CL 2,3,T F,10:00-12:30,3,16,"TENDERO,V",
2016-2017,1,BA 183.2,Iloilo City,Lec/Lab,CL 2,4,W,7:00-12:00,3,16,"TENDERO,V",
2016-2017,2,BA 183.2,Iloilo City,Lec/Lab,CL1,1,T F,1:00-3:30,3,18,"GO,M",
2016-2017,2,BA 183.2,Iloilo City,Lec/Lab,CL 2,2,T F,4:00-6:30,3,18,"GO,M",
2016-2017,2,BA 183.2,Iloilo City,Lec/Lab,CL1,4,M Th,7:00-9:30,3,18,"DUMPIT,D",
2016-2017,2,BA 183.2,Iloilo City,Lec/Lab,CL1,3,T F,7:00-9:30,3,18,"DUMPIT,D",
2016-2017,1,BA 184.1,Iloilo City,Lec/Lab,CL 2,1,M Th,4:00-6:30,3,18,"VIRGO,M",
2016-2017,1,BA 184.1,Iloilo City,Lec/Lab,CL1,3,T F,4:00-6:30,3,18,"VIRGO,M",
2016-2017,1,BA 184.1,Iloilo City,Lec/Lab,CL1,2,T F,1:00-3:30,3,20,"PANAGUITON,K",
2016-2017,2,BA 184.2,Iloilo City,Lec/Lab,CL 2,1,M Th,1:00-3:30,3,18,"DUMPIT,D / PANAGUITON,K",
2016-2017,2,BA 184.2,Iloilo City,Lec/Lab,CL 2,3,M Th,7:00-9:30,3,20,"PANAGUITON,K",
2016-2017,2,BA 184.2,Iloilo City,Lec/Lab,CL 2,2,M Th,4:00-6:30,3,21,"PANAGUITON,K",
2016-2017,1,BA 187,Iloilo City,Lec,HB 2,2,T F,11:30-1:00,3,38,"OCAMPO,M",
2016-2017,1,BA 187,Iloilo City,Lec,HB 1,1,M Th,7:00-8:30,3,36,"OCAMPO,M",
2016-2017,2,BA 187,Iloilo City,Lec,AVR 2,1,M Th,10:00-11:30,3,32,"OCAMPO,M",
2016-2017,2,BA 187,Iloilo City,Lec,GCEB32A and B,2,M Th,1:00-2:30,3,34,"OCAMPO,M",
2016-2017,2,BA 190,Iloilo City,Lec,PA 3,4,M Th,4:00-5:30,3,23,"ALBAÑA,M",
2016-2017,2,BA 190,Iloilo City,Lec,GCEB36,5,M Th,2:30-4:00,3,23,"SAMSON,N",
2016-2017,2,BA 190,Iloilo City,Lec,LT Annex,3,T F,11:30-1:00,3,23,"ALBAÑA,M",
2016-2017,2,BA 190,Iloilo City,Lec,HB 1,6,M Th,4:00-5:30,3,29,"SAMSON,N",
2016-2017,2,BA 190,Iloilo City,Lec,CM 1,1,T F,2:30-4:00,3,29,"SAMSON,N",
2016-2017,2,BA 190,Iloilo City,Lec,GCEB36,2,T F,4:00-5:30,3,29,"SAMSON,N",
2016-2017,2,BA 199,Iloilo City,Lec,LT Annex,1,T F,11:30-1:00,3,23,"FERNANDEZ,C",
2016-2017,2,BA 199,Iloilo City,Lec,HB 1,2,T F,4:00-5:30,3,23,"FERNANDEZ,C",
2016-2017,2,BA 199,Iloilo City,Lec,LT Annex,3,T F,10:00-11:30,3,23,"FERNANDEZ,C",
2016-2017,1,BA 99.1,Iloilo City,Lec,GCEB33,7,M Th,1:00-2:30,3,25,"CORDA-PRADO,M",
2016-2017,1,BA 99.1,Iloilo City,Lec,PA 2,2,M Th,7:00-8:30,3,25,"REBUENO,M",
2016-2017,1,BA 99.1,Iloilo City,Lec,PA 3,1,T F,10:00-11:30,3,36,"TAGAMOLILA,R",
2016-2017,1,BA 99.1,Iloilo City,Lec,PA 3,5,T F,11:30-1:00,3,37,"TAGAMOLILA,R",
2016-2017,1,BA 99.1,Iloilo City,Lec,HB 1,4,M Th,11:30-1:00,3,38,"TAGAMOLILA,R",
2016-2017,1,BA 99.1,Iloilo City,Lec,AVR 2,3,M Th,1:00-2:30,3,25,"MILLAN,S",
2016-2017,1,BA 99.1,Iloilo City,Lec,PA 1,6,T F,1:00-2:30,3,35,"PANAGUITON,B",
2016-2017,2,BA 99.2,Iloilo City,Lec,PA 2,4,M Th,7:00-8:30,3,33,"VIRGO,M",
2016-2017,2,BA 99.2,Iloilo City,Lec,PA 3,1,T F,10:00-11:30,3,28,"TAGAMOLILA,R",
2016-2017,2,BA 99.2,Iloilo City,Lec,PA 3,3,T F,11:30-1:00,3,26,"TAGAMOLILA,R",
2016-2017,2,BA 99.2,Iloilo City,Lec,PA 2,7,T F,2:30-4:00,3,35,"PANAGUITON,B",
2016-2017,2,BA 99.2,Iloilo City,Lec,PA 3,5,M Th,2:30-4:00,3,33,"PANAGUITON,B",
2016-2017,2,BA 99.2,Iloilo City,Lec,LT Annex,6,M Th,2:30-4:00,3,36,"CHIN,A",
2016-2017,2,BA 99.2,Iloilo City,Lec,PA 3,2,M Th,10:00-11:30,3,24,"TAGAMOLILA,R",
2016-2017,1,Bio 1,Miagao,Lec,R112,1,T F,10:00-11:30,3,36,"KATALBAS,M",
2016-2017,1,Bio 1,Miagao,Lec,R112,2,T F,1:00-2:30,3,32,"KATALBAS,M",
2016-2017,1,Bio 1,Miagao,Lec,R105,4,M Th,2:30-4:00,3,41,"BAYLON,J / CUADRA,M",
2016-2017,1,Bio 1,Miagao,Lec,R105,3,M Th,1:00-2:30,3,35,"BAYLON,J",
2016-2017,1,Bio 1,Miagao,Lec,R105,5,T F,1:00-2:30,3,36,"MINERVA,M",
2016-2017,2,Bio 1,Miagao,Lec,R105,2,M Th,2:30-4:00,3,32,"VILLARTA,K",
2016-2017,2,Bio 1,Miagao,Lec,R105,1,T F,4:00-5:30,3,41,"BAYLON,J",
2016-2017,1,Bio 10,Miagao,Lec,R103,1,W,8:30-11:30,5,10,"YUNQUE,N",
2016-2017,1,Bio 10,Miagao,Lab,R120,1,M Th,7:00-10:00,5,10,"PAGUNTALAN,D",
2016-2017,2,Bio 10,Miagao,Lab,R117,2,T F,1:00-4:00,5,18,"MINERVA,M",
2016-2017,2,Bio 10,Miagao,Lab,R117,1,T F,10:00-1:00,5,21,"MINERVA,M",
2016-2017,2,Bio 10,Miagao,Lec,R112,1,T F,4:00-5:30,5,39,"CUADRA,M",
2016-2017,1,Bio 120,Miagao,Lec,R103,2,T F,1:00-2:30,3,28,"DE LOS REYES,C",
2016-2017,1,Bio 120,Miagao,Lec,R105,1,W,1:00-4:00,3,38,"PADILLA,P / SUMAYO,M",
2016-2017,1,Bio 120.1,Miagao,Lab,MicroBio Lab Basemen,1,T F,7:00-10:00,2,23,"CUADRA,M / SUMAYO,M",
2016-2017,1,Bio 120.1,Miagao,Lab,MicroBio Lab Basemen,3,T F,10:00-1:00,2,21,"CUADRA,M / DE LOS REYES,C",
2016-2017,1,Bio 120.1,Miagao,Lab,MicroBio Lab Basemen,2,M Th,1:00-4:00,2,21,"SUMAYO,M",
2016-2017,2,Bio 140,Miagao,Lec,R112,1,M Th,10:00-11:30,3,43,"MALAY,M",
2016-2017,2,Bio 140.1,Miagao,Lab,R120,1,W,7:00-10:00,1,10,"MINERVA,M",01/03/2017 16:25
2016-2017,2,Bio 140.1,Miagao,Lab,R120,2,W,10:00-1:00,1,24,"MINERVA,M",
2016-2017,2,Bio 140.1,Miagao,Lab,R120,3,W,1:00-4:00,1,19,"MINERVA,M",
2016-2017,2,Bio 150,Miagao,Lec,R103,2,M Th,4:00-5:30,3,18,"GESTUVEO,R",
